task_id,task_path,task_desc,executable_go_to_actions,no_executable_go_to_actions
14,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-DishSponge-None-Cabinet-5/trial_T20190906_192916_142208/traj_data.json,put some dishsponge on cabinet,"['go to cabinet 1', 'go to cabinet 2', 'go to cabinet 3', 'go to cabinet 4', 'go to cabinet 5', 'go to cabinet 6', 'go to countertop 1', 'go to coffeemachine 1', 'go to cabinet 7', 'go to toaster 1', 'go to cabinet 8', 'go to sink 1', 'go to fridge 1', 'go to microwave 1', 'go to garbagecan 1', 'go to cabinet 9', 'go to cabinet 10', 'go to countertop 2', 'go to cabinet 11', 'go to cabinet 12', 'go to drawer 1', 'go to countertop 3', 'go to drawer 2', 'go to cabinet 13', 'go to sinkbasin 1', 'go to cabinet 14', 'go to drawer 3', 'go to stoveburner 1', 'go to stoveburner 2', 'go to stoveburner 3', 'go to stoveburner 4', 'go to cabinet 15', 'go to cabinet 16', 'go to cabinet 17', 'go to cabinet 18', 'go to cabinet 19', 'go to cabinet 20', 'go to shelf 1', 'go to shelf 2', 'go to shelf 3']",[]
15,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-DishSponge-None-Toilet-403/trial_T20190907_192737_190036/traj_data.json,put some dishsponge on toilet,"['go to bathtub 1', 'go to bathtubbasin 1', 'go to cabinet 1', 'go to cabinet 2', 'go to countertop 1', 'go to cabinet 3', 'go to sink 1', 'go to sinkbasin 1', 'go to sink 2', 'go to garbagecan 1', 'go to sinkbasin 2', 'go to cabinet 4', 'go to toilet 1']",[]
16,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-DishSponge-None-Toilet-430/trial_T20190907_144850_467372/traj_data.json,put some dishsponge on toilet,"['go to bathtub 1', 'go to bathtubbasin 1', 'go to cart 1', 'go to sink 1', 'go to garbagecan 1', 'go to sinkbasin 1', 'go to countertop 1', 'go to drawer 1', 'go to drawer 2', 'go to drawer 3', 'go to drawer 4', 'go to toilet 1', 'go to toiletpaperhanger 1']",[]
17,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Egg-None-Fridge-7/trial_T20190919_044140_870607/traj_data.json,put some egg on fridge,"['go to countertop 1', 'go to sink 1', 'go to cabinet 1', 'go to cabinet 2', 'go to cabinet 3', 'go to drawer 1', 'go to coffeemachine 1', 'go to sinkbasin 1', 'go to stoveburner 1', 'go to stoveburner 2', 'go to microwave 1', 'go to cabinet 4', 'go to cabinet 5', 'go to cabinet 6', 'go to cabinet 7', 'go to cabinet 8', 'go to toaster 1', 'go to countertop 2', 'go to drawer 2', 'go to stoveburner 3', 'go to stoveburner 4', 'go to cabinet 9', 'go to drawer 3', 'go to cabinet 10', 'go to cabinet 11', 'go to cabinet 12', 'go to cabinet 13', 'go to drawer 4', 'go to shelf 1', 'go to shelf 2', 'go to shelf 3', 'go to diningtable 1', 'go to fridge 1']",[]
18,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Egg-None-Microwave-4/trial_T20190906_234424_765112/traj_data.json,put a egg in microwave,"['go to sink 1', 'go to cabinet 1', 'go to cabinet 2', 'go to drawer 1', 'go to drawer 2', 'go to countertop 1', 'go to drawer 3', 'go to drawer 4', 'go to drawer 5', 'go to drawer 6', 'go to countertop 2', 'go to stoveburner 1', 'go to stoveburner 2', 'go to countertop 3', 'go to sinkbasin 1', 'go to microwave 1', 'go to stoveburner 3', 'go to stoveburner 4', 'go to countertop 4', 'go to diningtable 1', 'go to fridge 1', 'go to garbagecan 1']",[]
19,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Glassbottle-None-CounterTop-23/trial_T20190907_122237_574960/traj_data.json,put a glassbottle in countertop,"['go to fridge 1', 'go to cabinet 1', 'go to countertop 1', 'go to sink 1', 'go to sinkbasin 1', 'go to cabinet 2', 'go to toaster 1', 'go to cabinet 3', 'go to coffeemachine 1', 'go to cabinet 4', 'go to drawer 1', 'go to cabinet 5', 'go to cabinet 6', 'go to drawer 2', 'go to microwave 1', 'go to stoveburner 1', 'go to stoveburner 2', 'go to garbagecan 1', 'go to stoveburner 3', 'go to stoveburner 4', 'go to cabinet 7', 'go to cabinet 8', 'go to diningtable 1']",[]
20,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-HandTowel-None-BathtubBasin-423/trial_T20190909_044428_237048/traj_data.json,put a handtowel in bathtubbasin,"['go to bathtub 1', 'go to countertop 1', 'go to handtowelholder 1', 'go to countertop 2', 'go to sink 1', 'go to sinkbasin 1', 'go to garbagecan 1', 'go to towelholder 1', 'go to drawer 1', 'go to sink 2', 'go to drawer 2', 'go to drawer 3', 'go to drawer 4', 'go to sinkbasin 2', 'go to drawer 5', 'go to handtowelholder 2', 'go to handtowelholder 3', 'go to drawer 6', 'go to drawer 7', 'go to drawer 8', 'go to bathtubbasin 1', 'go to handtowelholder 4']",[]
21,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-HandTowel-None-CounterTop-416/trial_T20190909_045221_760575/traj_data.json,put some handtowel on countertop,"['go to countertop 1', 'go to sinkbasin 1', 'go to sink 1', 'go to garbagecan 1', 'go to drawer 1', 'go to drawer 2', 'go to sink 2', 'go to sinkbasin 2', 'go to toilet 1', 'go to handtowelholder 1']",[]
22,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-HandTowel-None-SinkBasin-416/trial_T20190909_032528_576498/traj_data.json,put some handtowel on sinkbasin,"['go to countertop 1', 'go to sinkbasin 1', 'go to sink 1', 'go to garbagecan 1', 'go to drawer 1', 'go to drawer 2', 'go to sink 2', 'go to sinkbasin 2', 'go to toilet 1', 'go to handtowelholder 1']",[]
23,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-HandTowel-None-Toilet-420/trial_T20190908_120224_333615/traj_data.json,put a handtowel in toilet,"['go to bathtub 1', 'go to bathtubbasin 1', 'go to sidetable 1', 'go to drawer 1', 'go to towelholder 1', 'go to sink 1', 'go to toilet 1', 'go to toiletpaperhanger 1']",[]
24,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-KeyChain-None-CoffeeTable-227/trial_T20190907_162007_533707/traj_data.json,put some keychain on coffeetable,"['go to armchair 1', 'go to armchair 2', 'go to sofa 1', 'go to cabinet 1', 'go to cabinet 2', 'go to drawer 1', 'go to drawer 2', 'go to shelf 1', 'go to shelf 2', 'go to shelf 3', 'go to cabinet 3', 'go to shelf 4', 'go to shelf 5', 'go to cabinet 4', 'go to cabinet 5', 'go to cabinet 6', 'go to shelf 6', 'go to shelf 7', 'go to cabinet 7', 'go to cabinet 8', 'go to drawer 3', 'go to shelf 8', 'go to shelf 9', 'go to coffeetable 1', 'go to coffeetable 2', 'go to shelf 10', 'go to shelf 11', 'go to drawer 4', 'go to drawer 5', 'go to shelf 12', 'go to shelf 13', 'go to diningtable 1', 'go to drawer 6', 'go to garbagecan 1', 'go to drawer 7']",[]
25,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Laptop-None-ArmChair-205/trial_T20190908_082554_250199/traj_data.json,put a laptop in armchair,"['go to armchair 1', 'go to armchair 2', 'go to ottoman 1', 'go to sofa 1', 'go to garbagecan 1', 'go to drawer 1', 'go to drawer 2', 'go to dresser 1', 'go to drawer 3', 'go to drawer 4', 'go to sidetable 1', 'go to sidetable 2', 'go to diningtable 1', 'go to sidetable 3']",[]
26,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Pan-None-SinkBasin-2/trial_T20190907_211651_985339/traj_data.json,put some pan on sinkbasin,"['go to countertop 1', 'go to fridge 1', 'go to cabinet 1', 'go to garbagecan 1', 'go to countertop 2', 'go to drawer 1', 'go to cabinet 2', 'go to coffeemachine 1', 'go to cabinet 3', 'go to sink 1', 'go to sinkbasin 1', 'go to cabinet 4', 'go to cabinet 5', 'go to drawer 2', 'go to cabinet 6', 'go to cabinet 7', 'go to cabinet 8', 'go to cabinet 9', 'go to drawer 3', 'go to microwave 1', 'go to drawer 4', 'go to drawer 5', 'go to drawer 6', 'go to toaster 1', 'go to drawer 7', 'go to drawer 8', 'go to drawer 9', 'go to stoveburner 1', 'go to drawer 10', 'go to drawer 11', 'go to stoveburner 2', 'go to drawer 12', 'go to stoveburner 3', 'go to drawer 13', 'go to stoveburner 4', 'go to stoveburner 5', 'go to stoveburner 6']",[]
27,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Pen-None-Shelf-310/trial_T20190909_113535_223329/traj_data.json,put a pen in shelf,"['go to bed 1', 'go to sidetable 1', 'go to drawer 1', 'go to drawer 2', 'go to cabinet 1', 'go to desk 1', 'go to cabinet 2', 'go to shelf 1', 'go to cabinet 3', 'go to cabinet 4', 'go to garbagecan 1']",[]
28,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Pen-None-Shelf-310/trial_T20190909_113544_965358/traj_data.json,put some pen on shelf,"['go to bed 1', 'go to drawer 1', 'go to sidetable 1', 'go to drawer 2', 'go to cabinet 1', 'go to desk 1', 'go to cabinet 2', 'go to shelf 1', 'go to cabinet 3', 'go to cabinet 4', 'go to garbagecan 1']",[]
29,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Pen-None-SideTable-309/trial_T20190907_051843_166835/traj_data.json,put a pen in sidetable,"['go to armchair 1', 'go to armchair 2', 'go to armchair 3', 'go to bed 1', 'go to sidetable 1', 'go to cabinet 1', 'go to cabinet 2', 'go to garbagecan 1', 'go to desk 1', 'go to drawer 1', 'go to drawer 2', 'go to drawer 3', 'go to drawer 4']",[]
30,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Pencil-None-Desk-310/trial_T20190909_142857_563593/traj_data.json,put some pencil on desk,"['go to bed 1', 'go to sidetable 1', 'go to drawer 1', 'go to drawer 2', 'go to cabinet 1', 'go to desk 1', 'go to cabinet 2', 'go to shelf 1', 'go to cabinet 3', 'go to cabinet 4', 'go to garbagecan 1']",[]
31,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-PepperShaker-None-SideTable-21/trial_T20190906_213353_632634/traj_data.json,put some peppershaker on sidetable,"['go to cabinet 1', 'go to sidetable 1', 'go to cabinet 2', 'go to countertop 1', 'go to cabinet 3', 'go to cabinet 4', 'go to drawer 1', 'go to sink 1', 'go to sinkbasin 1', 'go to diningtable 1', 'go to toaster 1', 'go to diningtable 2', 'go to microwave 1', 'go to diningtable 3', 'go to garbagecan 1', 'go to fridge 1', 'go to coffeemachine 1']",[]
32,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Pillow-None-ArmChair-321/trial_T20190908_104920_763828/traj_data.json,put a pillow in armchair,"['go to armchair 1', 'go to sidetable 1', 'go to drawer 1', 'go to bed 1', 'go to sidetable 2', 'go to drawer 2', 'go to diningtable 1']",[]
33,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Pillow-None-Sofa-209/trial_T20190907_101338_670866/traj_data.json,put a pillow in sofa,"['go to armchair 1', 'go to drawer 1', 'go to sidetable 1', 'go to drawer 2', 'go to sofa 1', 'go to dresser 1', 'go to coffeetable 1', 'go to drawer 3', 'go to drawer 4', 'go to garbagecan 1', 'go to sidetable 2']",[]
34,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-RemoteControl-None-CoffeeTable-209/trial_T20190909_062250_692710/traj_data.json,put a remotecontrol in coffeetable,"['go to armchair 1', 'go to drawer 1', 'go to drawer 2', 'go to sidetable 1', 'go to sofa 1', 'go to dresser 1', 'go to coffeetable 1', 'go to drawer 3', 'go to drawer 4', 'go to garbagecan 1', 'go to sidetable 2']",[]
35,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-RemoteControl-None-Dresser-311/trial_T20190907_154740_977701/traj_data.json,put some remotecontrol on dresser,"['go to armchair 1', 'go to sidetable 1', 'go to dresser 1', 'go to armchair 2', 'go to bed 1', 'go to countertop 1', 'go to garbagecan 1', 'go to diningtable 1', 'go to drawer 1', 'go to drawer 2']",[]
36,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-SoapBar-None-Cart-401/trial_T20190907_054842_311491/traj_data.json,put some soapbar on cart,"['go to bathtub 1', 'go to bathtubbasin 1', 'go to cart 1', 'go to toilet 1', 'go to garbagecan 1', 'go to toiletpaperhanger 1', 'go to shelf 1', 'go to shelf 2', 'go to shelf 3', 'go to shelf 4', 'go to sink 1', 'go to sinkbasin 1', 'go to handtowelholder 1']",[]
37,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-SoapBottle-None-Cart-430/trial_T20190909_100644_741963/traj_data.json,put a soapbottle in cart,"['go to bathtub 1', 'go to bathtubbasin 1', 'go to cart 1', 'go to sink 1', 'go to garbagecan 1', 'go to sinkbasin 1', 'go to countertop 1', 'go to drawer 1', 'go to drawer 2', 'go to drawer 3', 'go to drawer 4', 'go to toilet 1', 'go to toiletpaperhanger 1']",[]
38,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Spoon-None-SinkBasin-19/trial_T20190909_042917_794035/traj_data.json,put a spoon in sinkbasin,"['go to cabinet 1', 'go to cabinet 2', 'go to cabinet 3', 'go to toaster 1', 'go to cabinet 4', 'go to cabinet 5', 'go to microwave 1', 'go to garbagecan 1', 'go to countertop 1', 'go to drawer 1', 'go to cabinet 6', 'go to cabinet 7', 'go to drawer 2', 'go to stoveburner 1', 'go to stoveburner 2', 'go to countertop 2', 'go to cabinet 8', 'go to cabinet 9', 'go to cabinet 10', 'go to drawer 3', 'go to drawer 4', 'go to stoveburner 3', 'go to stoveburner 4', 'go to cabinet 11', 'go to cabinet 12', 'go to cabinet 13', 'go to cabinet 14', 'go to sinkbasin 1', 'go to sink 1', 'go to cabinet 15', 'go to fridge 1', 'go to cabinet 16', 'go to cabinet 17', 'go to cabinet 18', 'go to cabinet 19', 'go to diningtable 1', 'go to coffeemachine 1', 'go to cabinet 20']",[]
39,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-SprayBottle-None-GarbageCan-421/trial_T20190908_122008_678340/traj_data.json,put a spraybottle in garbagecan,"['go to countertop 1', 'go to sink 1', 'go to sinkbasin 1', 'go to sink 2', 'go to sinkbasin 2', 'go to drawer 1', 'go to drawer 2', 'go to drawer 3', 'go to drawer 4', 'go to drawer 5', 'go to drawer 6', 'go to drawer 7', 'go to drawer 8', 'go to toilet 1']",[]
40,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-SprayBottle-None-Toilet-405/trial_T20190908_021323_460782/traj_data.json,put some spraybottle on toilet,"['go to bathtub 1', 'go to bathtubbasin 1', 'go to toilet 1', 'go to cabinet 1', 'go to sinkbasin 1', 'go to cabinet 2', 'go to countertop 1', 'go to garbagecan 1', 'go to sink 1', 'go to handtowelholder 1', 'go to toiletpaperhanger 1', 'go to cabinet 3', 'go to cabinet 4', 'go to cabinet 5']",[]
41,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-SprayBottle-None-Toilet-420/trial_T20190909_113842_397571/traj_data.json,put some spraybottle on toilet,"['go to bathtub 1', 'go to bathtubbasin 1', 'go to sidetable 1', 'go to drawer 1', 'go to towelholder 1', 'go to sink 1', 'go to toilet 1', 'go to toiletpaperhanger 1']",[]
42,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Statue-None-CoffeeTable-201/trial_T20190908_124709_477856/traj_data.json,put a statue in coffeetable,"['go to armchair 1', 'go to tvstand 1', 'go to armchair 2', 'go to coffeetable 1', 'go to sofa 1', 'go to sidetable 1', 'go to drawer 1', 'go to diningtable 1', 'go to sidetable 2', 'go to drawer 2', 'go to diningtable 2']",[]
43,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-ToiletPaper-None-Toilet-419/trial_T20190908_002335_756186/traj_data.json,put a toiletpaper in toilet,"['go to bathtub 1', 'go to bathtubbasin 1', 'go to sidetable 1', 'go to sink 1', 'go to drawer 1', 'go to handtowelholder 1', 'go to sinkbasin 1', 'go to toilet 1', 'go to drawer 2']",[]
44,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-414/trial_T20190907_041853_604862/traj_data.json,put some toiletpaper on toiletpaperhanger,"['go to bathtub 1', 'go to bathtubbasin 1', 'go to toilet 1', 'go to garbagecan 1', 'go to toiletpaperhanger 1', 'go to sink 1', 'go to cabinet 1', 'go to cabinet 2', 'go to countertop 1', 'go to cabinet 3', 'go to sinkbasin 1', 'go to countertop 2', 'go to cabinet 4', 'go to cabinet 5', 'go to cabinet 6', 'go to cabinet 7', 'go to drawer 1', 'go to handtowelholder 1', 'go to cabinet 8', 'go to cabinet 9']",[]
45,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-420/trial_T20190908_155546_250341/traj_data.json,put a toiletpaper in toiletpaperhanger,"['go to bathtub 1', 'go to bathtubbasin 1', 'go to sidetable 1', 'go to drawer 1', 'go to towelholder 1', 'go to sink 1', 'go to toilet 1', 'go to toiletpaperhanger 1']",[]
46,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-427/trial_T20190908_121616_357729/traj_data.json,put a toiletpaper in toiletpaperhanger,"['go to bathtub 1', 'go to bathtubbasin 1', 'go to countertop 1', 'go to drawer 1', 'go to drawer 2', 'go to drawer 3', 'go to drawer 4', 'go to drawer 5', 'go to drawer 6', 'go to drawer 7', 'go to drawer 8', 'go to sinkbasin 1', 'go to sink 1']",[]
47,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Tomato-None-Microwave-8/trial_T20190907_205050_993517/traj_data.json,put a tomato in microwave,"['go to cabinet 1', 'go to cabinet 2', 'go to countertop 1', 'go to cabinet 3', 'go to cabinet 4', 'go to cabinet 5', 'go to sink 1', 'go to cabinet 6', 'go to drawer 1', 'go to drawer 2', 'go to cabinet 7', 'go to sinkbasin 1', 'go to cabinet 8', 'go to coffeemachine 1', 'go to microwave 1', 'go to cabinet 9', 'go to countertop 2', 'go to cabinet 10', 'go to drawer 3', 'go to drawer 4', 'go to garbagecan 1', 'go to drawer 5', 'go to cabinet 11', 'go to cabinet 12', 'go to cabinet 13', 'go to cabinet 14', 'go to stoveburner 1', 'go to countertop 3', 'go to stoveburner 2', 'go to stoveburner 3', 'go to stoveburner 4', 'go to drawer 6', 'go to cabinet 15', 'go to cabinet 16', 'go to cabinet 17', 'go to cabinet 18', 'go to toaster 1', 'go to drawer 7', 'go to countertop 4', 'go to fridge 1']",[]
48,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Vase-None-CoffeeTable-207/trial_T20190909_091313_185407/traj_data.json,put some vase on coffeetable,"['go to armchair 1', 'go to armchair 2', 'go to garbagecan 1', 'go to coffeetable 1', 'go to coffeetable 2', 'go to sofa 1', 'go to tvstand 1', 'go to shelf 1', 'go to shelf 2', 'go to shelf 3', 'go to shelf 4', 'go to shelf 5', 'go to shelf 6', 'go to shelf 7']",[]
49,/home/zhaoyang/projects/alfworld/alfworld_data/alfworld/data/json_2.1.1/train/pick_and_place_simple-Vase-None-Safe-204/trial_T20190919_000130_908789/traj_data.json,put some vase on safe,"['go to armchair 1', 'go to sofa 1', 'go to shelf 1', 'go to shelf 2', 'go to diningtable 1', 'go to shelf 3', 'go to desk 1', 'go to coffeetable 1', 'go to sofa 2', 'go to tvstand 1', 'go to safe 1', 'go to drawer 1', 'go to drawer 2', 'go to drawer 3', 'go to drawer 4', 'go to drawer 5', 'go to drawer 6', 'go to garbagecan 1']",[]
